,Player,2019/20 ,2020/21 ,2021/22 ,2022/23 ,2023/24 ,2024/25 
1,Stephen Curry ,"$40,231,758 ","$43,006,362 ","$45,780,966 ",$0 ,$0 ,$0 
2,Russell Westbrook ,"$38,506,482 ","$41,358,814 ","$44,211,146 ","$47,063,478 ",$0 ,$0 
2,Chris Paul ,"$38,506,482 ","$41,358,814 ","$44,211,146 ",$0 ,$0 ,$0 
4,James Harden ,"$38,199,000 ","$41,254,920 ","$44,310,840 ","$47,366,760 ",$0 ,$0 
4,John Wall ,"$38,199,000 ","$41,254,920 ","$44,310,840 ","$47,366,760 ",$0 ,$0 
6,LeBron James ,"$37,436,858 ","$39,219,566 ","$41,002,274 ",$0 ,$0 ,$0 
7,Kevin Durant ,"$37,199,000 ","$39,058,950 ","$40,918,900 ","$42,778,850 ",$0 ,$0 
8,Blake Griffin ,"$34,449,964 ","$36,810,996 ","$38,957,028 ",$0 ,$0 ,$0 
9,Kyle Lowry ,"$33,296,296 ","$30,500,000 ",$0 ,$0 ,$0 ,$0 
10,Paul George ,"$33,005,556 ","$35,450,412 ","$37,895,268 ",$0 ,$0 ,$0 
11,Klay Thompson ,"$32,742,000 ","$35,361,360 ","$37,980,720 ","$40,600,080 ","$43,219,440 ",$0 
11,Kemba Walker ,"$32,742,000 ","$34,379,100 ","$36,016,200 ","$37,653,300 ",$0 ,$0 
11,Kawhi Leonard ,"$32,742,000 ","$34,379,100 ","$36,016,200 ",$0 ,$0 ,$0 
11,Jimmy Butler ,"$32,742,000 ","$34,379,100 ","$36,016,200 ","$37,653,300 ",$0 ,$0 
11,Tobias Harris ,"$32,742,000 ","$34,358,850 ","$35,995,950 ","$37,633,050 ","$39,270,150 ",$0 
16,Gordon Hayward ,"$32,700,690 ","$34,187,085 ",$0 ,$0 ,$0 ,$0 
17,Mike Conley ,"$32,511,623 ","$34,502,130 ",$0 ,$0 ,$0 ,$0 
18,Kyrie Irving ,"$31,742,000 ","$33,329,100 ","$34,916,200 ","$36,503,300 ",$0 ,$0 
19,Khris Middleton ,"$30,603,448 ","$33,051,724 ","$35,500,000 ","$37,984,276 ","$40,396,552 ",$0 
20,Paul Millsap ,"$30,350,000 ",$0 ,$0 ,$0 ,$0 ,$0 
21,Damian Lillard ,"$29,802,321 ","$31,626,953 ","$43,750,000 ","$47,250,000 ","$50,750,000 ","$54,250,000 "
22,Kevin Love ,"$28,942,830 ","$31,258,256 ","$31,258,256 ","$28,942,830 ",$0 ,$0 
23,Al Horford ,"$28,000,000 ","$27,500,000 ","$27,000,000 ","$26,500,000 ",$0 ,$0 
23,Nikola Vucevic ,"$28,000,000 ","$26,000,000 ","$24,000,000 ","$22,000,000 ",$0 ,$0 
25,DeMar DeRozan ,"$27,739,975 ","$27,739,975 ",$0 ,$0 ,$0 ,$0 
26,CJ McCollum ,"$27,556,959 ","$29,354,152 ","$30,864,198 ","$33,333,333 ","$35,802,469 ",$0 
27,Nikola Jokic ,"$27,504,630 ","$29,542,010 ","$31,579,390 ","$33,616,770 ",$0 ,$0 
27,Andrew Wiggins ,"$27,504,630 ","$29,542,010 ","$31,579,390 ","$33,616,770 ",$0 ,$0 
27,Joel Embiid ,"$27,504,630 ","$29,542,010 ","$31,579,390 ","$33,616,770 ",$0 ,$0 
30,Kristaps Porzingis ,"$27,285,000 ","$29,467,800 ","$31,650,600 ","$33,833,400 ","$36,016,200 ",$0 
30,Karl-Anthony Towns ,"$27,285,000 ","$29,467,800 ","$31,650,600 ","$33,833,400 ","$36,016,200 ",$0 
30,Devin Booker ,"$27,285,000 ","$29,430,000 ","$31,610,000 ","$33,790,000 ","$36,493,200 ",$0 
30,D'Angelo Russell ,"$27,285,000 ","$28,649,250 ","$30,013,500 ","$31,377,750 ",$0 ,$0 
34,Otto Porter ,"$27,250,576 ","$28,489,239 ",$0 ,$0 ,$0 ,$0 
35,Anthony Davis ,"$27,093,019 ","$28,751,775 ",$0 ,$0 ,$0 ,$0 
36,Andre Drummond ,"$27,093,018 ","$28,751,774 ",$0 ,$0 ,$0 ,$0 
36,Bradley Beal ,"$27,093,018 ","$28,751,774 ","$34,502,129 ","$37,262,299 ",$0 ,$0 
36,Hassan Whiteside ,"$27,093,018 ",$0 ,$0 ,$0 ,$0 ,$0 
