,player,team,position,minutes,boxraptor_off,boxraptor_def,boxraptor_total,onoffraptor_off,onoffraptor_def,onoffraptor_total,offensiveraptor,defensiveraptor,totalraptor,war
1,James Harden,Rockets,SG,"2,931",9.5,1.2,10.8,1.6,4.6,6.2,8.5,2,10.5,19.8
2,Kawhi Leonard,Clippers,SF,"2,359",6.3,3.2,9.5,5.4,2.7,8.1,6.4,3.3,9.6,14.9
3,Giannis Antetokounmpo,Bucks,PF,"2,194",5.6,2.6,8.2,2.9,6.2,9.1,5.3,3.4,8.8,13.1
4,LeBron James,Lakers,SF,"3,078",6.6,0.2,6.9,4.4,5.7,10.1,6.5,1.3,7.8,16.8
5,Anthony Davis,Lakers,PF,"2,900",3.9,4.7,8.5,-0.8,2.2,1.4,3.1,4.3,7.4,15.5
6,Karl-Anthony Towns,Timberwolves,C,"1,187",4.9,2.3,7.3,7.1,-5.3,1.8,5.8,0.9,6.7,5.8
7,Damian Lillard,Trail Blazers,PG,"2,617",8.7,-2.2,6.5,3.7,0.3,3.9,8.1,-1.8,6.4,12.3
8,Luka Doncic,Mavericks,PG,"2,262",8.5,-1,7.5,1.5,-1.1,0.3,7.4,-1.1,6.3,10.6
8,Paul George,Clippers,SG,"1,898",3.7,3.2,6.9,1.9,0.7,2.7,3.5,2.8,6.3,8.9
10,Jimmy Butler,Heat,SG,"2,765",4.3,1.8,6.1,2,0.1,2.1,4.1,1.5,5.6,11.8
10,Rudy Gobert,Jazz,C,"2,603",-0.7,5.9,5.3,3.3,2.2,5.6,0.1,5.5,5.6,11.1
12,Jayson Tatum,Celtics,SF,"2,955",3.5,1.3,4.8,2.1,5,7.1,3.4,2.1,5.5,12.5
13,Nikola Jokic,Nuggets,C,"3,030",4.5,0.9,5.4,3.8,-1.4,2.5,4.6,0.5,5.1,12.1
14,Kyle Lowry,Raptors,PG,"2,511",3.8,1.7,5.6,-0.2,1,0.8,3.2,1.6,4.8,9.9
15,Jrue Holiday,Pelicans,SG,"2,117",2.3,1.9,4.2,1.6,3.7,5.3,2.3,2.4,4.7,8.1
15,Khris Middleton,Bucks,SF,"2,208",3.4,1,4.3,3,2.1,5.1,3.5,1.2,4.7,8.4
15,Kemba Walker,Celtics,PG,"2,370",4.4,0.6,5,5.5,-2.7,2.8,4.8,-0.1,4.7,9.1
18,Ivica Zubac,Clippers,C,"1,646",0.5,3.5,4,3.3,3,6.3,1.1,3.5,4.6,6.2
19,Patrick Beverley,Clippers,PG,"1,508",0.8,2.9,3.7,2.6,4.2,6.8,1.2,3.3,4.5,5.6
20,Christian Wood,Pistons,PF,"1,325",1.4,2.5,3.9,2.8,2.2,5.1,1.8,2.7,4.4,4.9
21,Joel Embiid,76ers,C,"1,651",1.8,3.3,5.1,-3.9,2.8,-1.1,0.7,3.4,4,5.7
22,Jakob Poeltl,Spurs,C,"1,171",-0.4,3.4,3,5.4,0.4,5.8,0.8,3,3.8,3.9
23,Patty Mills,Spurs,PG,"1,485",3.1,0.1,3.2,3,1.5,4.5,3.3,0.4,3.7,4.9
23,Jamal Murray,Nuggets,PG,"2,657",2.9,-0.2,2.7,4,2.8,6.8,3.2,0.4,3.7,8.8
23,Trae Young,Hawks,PG,"2,120",6.4,-2.7,3.7,7.1,-5.4,1.8,7.1,-3.3,3.7,7.2
26,Chris Paul,Thunder,PG,"2,469",5,-1.9,3.1,6.1,-1.5,4.6,5.6,-2,3.6,7.9
27,Derrick Favors,Pelicans,PF,"1,243",-0.1,2.6,2.5,3.9,1.9,5.8,0.7,2.7,3.4,3.9
27,Derrick White,Spurs,SG,"1,677",1.8,2,3.8,-1.6,2.2,0.6,1.2,2.2,3.4,5.3
29,Montrezl Harrell,Clippers,C,"1,992",0.7,3.4,4.1,-1.5,0.5,-1.1,0.2,2.9,3.2,6
30,Clint Capela,Hawks,C,"1,279",-1,4.9,3.8,-0.5,0.2,-0.3,-1,4.2,3.1,3.8
30,Donte DiVincenzo,Bucks,SG,"1,685",0.3,2.4,2.7,1.5,2.8,4.3,0.5,2.5,3.1,5
30,George Hill,Bucks,PG,"1,539",2.3,0.7,3,1.2,1.7,2.9,2.2,0.9,3.1,4.5
33,Danny Green,Lakers,SG,"2,212",0.3,2.5,2.8,3.3,0.3,3.6,0.9,2.1,3,6.6
33,Mitchell Robinson,Knicks,C,"1,412",1.3,1.5,2.8,0.5,1.9,2.4,1.3,1.7,3,4.1
33,Hassan Whiteside,Trail Blazers,C,"2,114",0.4,2.4,2.8,2,0.8,2.7,0.7,2.3,3,6.1
